contributor,projects,categories,languages,ecosystems,country,total_rewarded_usd_amount,reward_count,issue_count,pr_count,code_review_count,contribution_count
0xandee,"FLEX MARKETPLACE,Satoru",,"Cairo,Typescript",Starknet,VN,3182.75,2,0,0,0,0
0xAsten,"Dojo,Madara,Starknet React,Starknet docs: Starknet Technical Documentation,Starknet in Rust,The Cairo Book,The Starknet Book,Warpack Masters",,"Cairo,Javascript,Rust",Starknet,CN,25,1,0,1,0,1
0xChqrles,"Alexandria,Cairo compiler,Deoxys,Dojo,Starklings-Cairo1,Starknet React,Unruggable Meme,Vault,Zkramp,zKube","DeFi,Gaming","Cairo,Javascript,Rust,Swift,Typescript",Starknet,FR,0,0,0,2,1,3
0xdevcollins,"BSV Blockchain Faucet,Cairo VM gs,Cairo lint,Custos Diretriz,Joyboy Community,Metamask Snap Avail,SPV Wallet Browser,Speedrun & Scaffold Stark,SpotNet,StarkLudo,Starknet Quest,Starknet-Scaffold,Stellar CLI,Stone Packaging ,Yours Wallet","DeFi,Dev Tooling,Gaming,Infrastructure,Learning,RWA","Javascript,Python,Rust,Typescript","BSV Blockchain,Starknet,Stellar",NG,453.15,5,2,2,0,4
0xGreed,Starknet Foundry,,,Starknet,,30,1,0,2,0,2
0xLucqs,"Alexandria,Beerus,Cairo compiler,Cairo lint,Cartridge,DevNet,Dojo,Hardhat-Plugin,Joyboy Community,Kakarot,Madara,Papyrus,Poseidon,Satoru,Starknet docs: Starknet Technical Documentation,Starknet.go,The Cairo Book,The Starknet Book,Tsubasa,Vault,ZeroSync,starknet.js",,"Cairo,Go,Javascript,Python,Rust,Solidity,Typescript",Starknet,FR,0,0,0,2,0,2
0xNeshi,"LandVer,Starknet By Example,Starknet Foundry,The Cairo Book","Infrastructure,Learning,RWA","Cairo,Python,Solidity",Starknet,,70.44,2,0,4,0,4
0xquantum3labs,Speedrun & Scaffold Stark,,"Cairo,Javascript,Typescript",Starknet,,0,0,0,0,10,10
0xumarkhatab,The Cairo Book,,,Starknet,,0,0,0,0,0,0
4eyes52,RealmsWorld,,"Javascript,Typescript",Starknet,US,0,0,0,0,0,0
abdegenius,"Dojo,GO Feature Flag,STRKFarm,chaineventts","DeFi,Dev Tooling","Go,Javascript,Typescript",Starknet,,0,0,0,2,0,2
AbdelStark,"Abi WAN TS,Alexandria,Barknet,Beerus,Cairo VM in Zig,Cairo compiler,Carbonable,Cashubrew,Garaga,Joyboy Community,Kaaper,Kakarot,Madara,OnlyDust,Papyrus,Poseidon,Satoru,Starknet docs: Starknet Technical Documentation,Unruggable Meme,Vault,ZeroSync,btczee,shinigami,starknet-rs,🥥 Cashu wallet and mint implementation in Zig","Dev Tooling,Infrastructure","Cairo,Go,Javascript,Python,Rust,Typescript,Zig",Starknet,,0,0,0,0,2,2
Abeeujah,"GO Feature Flag,ScanGuard,StarkLudo,Starknet Foundry,Starknet Quest,Starknet React,Stellar CLI,chaineventts","Dev Tooling,Gaming","Cairo,Rust,Typescript","Starknet,Stellar",NG,147.38,2,2,5,0,7
actions-user,"Babylon Node Auto Installer,Kakarot,Starknet Remix Plugin",,,Starknet,,0,0,0,4,0,4
addegbenga,"AFK - Aligned Fam Kernel,Starknet Quest,The Cairo Book,art/peace,shinigami",,"Cairo,Go,Javascript,Solidity,Typescript",Starknet,NG,1802.24,3,1,8,0,9
Aditya-040,Starknet Quest,,Typescript,Starknet,IN,158.41,2,1,1,0,2
adrianvrj,"Cairo Native,Cairo VM in Go,Carbonable,Concrete,DeRisk,Dojo,Giza,Go Stark Me,Kakarot,Karst,Starkflare,Starknet.dart,Worldcoin-bridge-linea,art/peace,opscan by walnut,shinigami",,"Cairo,Go,Javascript,Python,Rust,Typescript","Optimism,Starknet",CR,938,1,6,5,15,26
adrienlacombe,"Garaga,Joyboy Community",,,Starknet,FR,0,0,0,1,0,1
aguilar1x,ByteBeasts,Gaming,,Starknet,CR,0,0,1,1,0,2
akhercha,"Alexandria,Cairo compiler,Cartridge,Cubit,Deoxys,Dojo,Giza,Kakarot,Satoru,Starknet Foundry,Unruggable Meme,ethui (formerly Iron Wallet)",,"Cairo,Python,Rust,Solidity,Typescript",Starknet,NL,0,0,0,3,7,10
Akinbola247,"AfriMart,Blobstream-Starknet,Dojo,Satoru,Speedrun & Scaffold Stark,The Starknet Book",,"Cairo,Javascript,Typescript",Starknet,NG,135,1,0,0,0,0
akintewe,"AFK - Aligned Fam Kernel,Basic Payment App,Giza,STRKFarm,Starknet Foundry,Starknet Phone,Stone Packaging ,The Cairo Book,Topology","DeFi,Dev Tooling,Infrastructure,Learning","Cairo,Javascript,Kotlin,Rust,Typescript","Starknet,Stellar",NG,271.72,2,2,3,0,5
akiraonstarknet,STRKFarm,DeFi,"Javascript,Typescript",Starknet,IN,1922.96,2,1,3,2,6
Akshola00,"DeRisk,LandVer,Starknet Foundry,Starknet Quest","Infrastructure,RWA","Cairo,Python,Rust,Typescript",Starknet,,32.21,1,3,3,0,6
aliyan404,Space ABI,"Infrastructure,Learning",Typescript,Starknet,,0,0,0,1,0,1
alkhulaifi,Cashubrew,"Dev Tooling,Infrastructure",,Starknet,,240.36,1,0,1,0,1
allcontributors[bot],"Cairo lint,Carbonable,DipDup,Garaga,Giza,Karst,LandVer,Mancala,Rosettanet,STRKFarm,Starknet Phone,Starknet Quest,Starknet.go,The Cairo Book","DeFi,Infrastructure,RWA",,"Ethereum,Optimism,Starknet",,0,0,0,24,0,24
Alon-Ti,"Cairo VM,Cairo compiler",,"Cairo,Rust",Starknet,,0,0,0,0,0,0
amanusk,"Alexandria,DevNet,Hardhat-Plugin,Madara,Starknet Foundry,Starknet docs: Starknet Technical Documentation,starknet.js",,"Cairo,Rust,Typescript",Starknet,,0,0,0,0,1,1
ametel01,"Apibara,Blobstream-Starknet,Cubit,Dojo,FLEX MARKETPLACE,Hyperlane Starknet,Rosettanet,Satoru,Scarb,Starknet Foundry,The Cairo Book",,"Cairo,Javascript,Rust,Typescript",Starknet,GB,0,0,0,0,0,0
anchalshivank,Replica_IO,,,"Aptos,Avail,Aztec,Ethereum,Lava,Optimism,Starknet",,0,0,0,0,0,0
AndreiZg,"Konoha,SpotNet",DeFi,"Cairo,Javascript,Typescript",Starknet,,0,0,0,1,0,1
AndriiBogomolov,"DeRisk,SpotNet",DeFi,"Javascript,Python",Starknet,UA,89.24,1,3,26,0,29
anonfedora,"StarkLudo,Starknet Quest,chaineventts",Gaming,"Cairo,Typescript",Starknet,NG,127.29,2,1,1,0,2
AnoukRImola,"Cofiblocks,Konoha",RWA,,Starknet,CR,550.29,1,0,0,0,0
antiyro,"Barknet,Checkpoint,Deoxys,Kakarot,Ledger Fresh,Madara,Starklings-Cairo1,Starknet docs: Starknet Technical Documentation,Starknet in Rust",,"Cairo,Javascript,Python,Rust,Solidity,Typescript",Starknet,,0,0,0,5,25,30
anubhav11156,Gitcoin Allo Starknet,,,Starknet,IN,550.77,1,0,0,0,0
anukkrit149,"Deoxys,Kakarot,Madara,Pathfinder",,"Javascript,Rust",Starknet,IN,0,0,0,1,0,1
aokiji233,Starknet Quest,,Typescript,Starknet,FR,0,0,0,0,0,0
aopoltorzhicky,DipDup,,Go,"Ethereum,Optimism,Starknet",,0,0,0,0,0,0
apoorvsadana,"Barknet,Cairo VM,Deoxys,GasPay,Kakarot,Ledger Fresh,Madara,Pathfinder,Starknet-id,starknet-rs",,"Cairo,Javascript,Python,Rust,Solidity,Typescript",Starknet,IN,0,0,1,2,4,7
Arcticae,"Cairo compiler,Scarb,Starknet Foundry,Starknet React,Starknet SDK for Python,Starknet in Rust,starknet.js,starknet.py",Dev Tooling,"Cairo,Javascript,Python,Rust,Typescript",Starknet,,0,0,0,1,18,19
ArielElp,"Alexandria,Cairo VM,Cairo compiler,Papyrus,Starknet docs: Starknet Technical Documentation",,"Cairo,Javascript,Rust,Typescript",Starknet,,0,0,0,0,1,1
ArturVargas,"Kakarot,Madara,The Starknet Book",,"Cairo,Go,Python,Rust",Starknet,MX,556.16,1,0,0,0,0
Await-0x,"Cartridge,Dojo,RealmsWorld",,"Cairo,Python,Typescript",Starknet,,0,0,0,0,0,0
aymericdelab,"Dojo,Kakarot,PixeLAW,RealmsWorld",,"Cairo,Javascript,Python,Rust,Typescript",Starknet,BE,723.45,1,22,42,15,79
Ayoazeez26,"AFK - Aligned Fam Kernel,Custos Diretriz,Joyboy Community,Konoha,STRKFarm,Speedrun & Scaffold Stark,StarkLudo,Starknet Quest,Starknet-Scaffold,The Cairo Book,Zkramp,art/peace,zKube","DeFi,Gaming","Cairo,Go,Javascript,Rust,Typescript",Starknet,NG,550,3,1,2,0,3
ayush99336,StarkLudo,Gaming,,Starknet,,24.9,1,0,0,0,0
azteca1998,"Cairo Native,Cairo VM,Pathfinder,Starknet in Rust",,"C++,Cairo,Python,Rust",Starknet,,0,0,0,4,18,22
azurwastaken,"Alexandria,Deoxys,Kakarot,Madara",,"Cairo,Rust,Solidity",Starknet,FR,0,0,0,0,0,0
bacharif,"ArkProject,Cairo-Foundry,Garaga",,"Cairo,Go,Python,Rust",Starknet,FR,0,0,0,1,0,1
baitcode,"GO Feature Flag,Raito - Bitcoin ZK Client,Stone Packaging ","Dev Tooling,Infrastructure","Cairo,Go,Python",Starknet,GB,2881.33,3,1,3,0,4
bal7hazar,"Alexandria,ArkProject,Cairo compiler,Carbonable,Cartridge,Cubit,Dojo,Giza,Kaaper,Kakarot,Paved,RealmsWorld,Satoru,Starknet in Rust,SybilShield,Tsubasa,Unruggable Meme,shhtarknet,zConqueror,zKlash,zKnight,zKube",Gaming,"C#,Cairo,Javascript,Python,Rust,Typescript",Starknet,FR,0,0,0,7,1,8
barabanovro,"Cairo compiler,Dojo,Starkflare,Starknet Foundry,Starknet-id,Walnut HQ,cairovm-codes,opscan by walnut",,"Cairo,Javascript,Python,Rust,Typescript",Starknet,KZ,0,0,0,0,0,0
BenFaruna,starknet.js,,"Cairo,Typescript",Starknet,NG,67.65,1,0,0,0,0
bengineer42,"Cairo compiler,Cartridge,Cubit,Dojo,RealmsWorld,Rising Revenant,Starklings-Cairo1",,"Cairo,Rust,Typescript",Starknet,GB,551.94,1,0,1,0,1
Benjtalkshow,"AFK - Aligned Fam Kernel,BSV Blockchain Faucet,Bandada,Blink Extension,Cairo lint,Go Stark Me,Nicera Labs,STRKFarm,Speedrun & Scaffold Stark,SpotNet,StarkLudo,Starknet Foundry,Starknet Quest,Starknet React,Starknet docs: Starknet Technical Documentation,Stellar CLI,Stone Packaging ,opscan by walnut,zKube","DeFi,Dev Tooling,Gaming,Infrastructure","Cairo,Javascript,Python,Rust,Typescript","BSV Blockchain,Starknet,Stellar",NG,539.58,7,5,7,0,12
bhanuprasad14,Cashubrew,"Dev Tooling,Infrastructure",,Starknet,,0,0,0,1,0,1
bhavyagosai,"AFK - Aligned Fam Kernel,Dojo,Joyboy Community,Kakarot,Starkflare,Starknet Quest,Starknet React,Starknet-Scaffold,opscan by walnut,starknet.js",,"Cairo,Javascript,Rust,Typescript",Starknet,IN,375,2,0,0,0,0
bigherc18,"Apibara,Beerus,DevNet,DipDup,GO Feature Flag,starknet-rs",Dev Tooling,"Javascript,Python,Rust","Ethereum,Optimism,Starknet",FR,2496.05,1,0,1,0,1
binayak9932,"BSV Blockchain Faucet,DeRisk,SpotNet","DeFi,Dev Tooling,Infrastructure","Python,Typescript","BSV Blockchain,Starknet",IN,0,0,4,4,0,8
bitfalt,"Blobstream-Starknet,ByteBeasts,Carbonable,Cartridge,Cofiblocks,Create Soroban Dapp Boiletplate,Go Stark Me,Kakarot,Semaphore Stellar,Speedrun & Scaffold Stark,Starknet Quest","Dev Tooling,Gaming,Learning,RWA","Cairo,Typescript","Starknet,Stellar",CR,425,2,2,3,3,8
b-j-roberts,"Alexandria,Blobstream-Starknet,Raito - Bitcoin ZK Client,The Cairo Book,art/peace,shinigami",Infrastructure,"Cairo,Go,Javascript,Ruby,Typescript",Starknet,US,0,0,0,9,14,23
blessingbytes,"FLEX MARKETPLACE,The Cairo Book",,Cairo,Starknet,NG,0,0,1,1,0,2
bloomingpeach,"Hylé,Raito - Bitcoin ZK Client,Starknet Foundry,art/peace,btczee,shinigami",Infrastructure,"Cairo,Python,Rust,Zig",Starknet,VN,1133.37,5,1,5,0,6
bob0005,"Kakarot,Loot Survivor,RealmsWorld",Gaming,"Cairo,Javascript,Rust,Typescript",Starknet,,0,0,19,36,11,66
bonustrack,"Checkpoint,starknet.js",,Typescript,Starknet,,0,0,0,0,4,4
Boreas09,Rosettanet,,"Cairo,Typescript",Starknet,TR,0,0,0,0,0,0
briansinw3b,"Atemu World,FLEX MARKETPLACE,StarkArcade,Starknet Coinflip ",,"Cairo,Typescript",Starknet,VN,1247.68,3,0,4,0,4
brolag,"Cofiblocks,Ethereum Costa Rica,RealmsWorld,SafeSwap","DeFi,RWA","Cairo,Javascript,Typescript","Starknet,Stellar",,0,0,0,7,2,9
bruhhgnik,"Garaga,Stone Packaging ",,Python,Starknet,IN,414.78,2,1,1,0,2
BrunoAmbricca,"Cairo lint,LandVer,SpotNet,Starknet Quest","DeFi,Infrastructure,RWA",Rust,Starknet,AR,80.13,1,3,2,0,5
Buuh2511,Speedrun & Scaffold Stark,,"Cairo,Solidity,Typescript",Starknet,VN,606.04,1,0,4,0,4
caillef,"Dojo,RealmsWorld,zConqueror",,"Rust,Typescript",Starknet,FR,0,0,0,3,0,3
Calcutatator,RealmsWorld,,,Starknet,,2167.35,1,0,0,0,0
Calebux,"Joyboy Community,LandVer,ScanGuard,Speedrun & Scaffold Stark,StarkLudo,Starknet-Scaffold,Stellar-Wallet,art/peace,chaineventts","Gaming,Infrastructure,RWA","Cairo,Go,Javascript,Typescript","Starknet,Stellar",NG,205,2,2,2,0,4
carldouch,zKube,Gaming,,Starknet,,0,0,0,1,0,1
caseywescott,Nicera Labs,,Cairo,Starknet,US,2002.2,2,0,0,0,0
casiojapi,Garaga,,Python,Starknet,,0,0,0,0,0,0
casweeney,"Awesome Starknet Cairo,Cairo Synthetix Staking,Custos Diretriz,Peer Protocol,Resolver,Scroll SDKs,Staking Multiple Reward Tokens,chaineventts","DeFi,Learning","Cairo,Javascript,Rust,Solidity,Typescript",Starknet,NG,723.45,1,4,41,0,45
caxtonacollins,"AFK - Aligned Fam Kernel,Custos Diretriz,SpotNet,Starknet Quest",DeFi,"Javascript,Python,Typescript",Starknet,,0,0,1,3,0,4
cchudant,Deoxys,,"Cairo,Rust,Typescript",Starknet,,0,0,0,9,8,17
chachaleo,"Cairo compiler,Cairo lint,Giza,Hylé,Kakarot,Starklings-Cairo1,The Cairo Book,Zkramp,shinigami",DeFi,"Cairo,Python,Rust,Typescript",Starknet,BE,1757.49,3,1,1,0,2
Cheelax,"Dojo,Madara,RealmsWorld,Starknet-Scaffold,The Cairo Book,Tsubasa,zConqueror,zKnight,zKube",Gaming,"Cairo,Javascript,Rust,Typescript",Starknet,FR,1444.9,1,0,5,0,5
chibokaxavier,Peer Protocol,DeFi,Typescript,Starknet,NG,0,0,1,1,0,2
chinepun,The Cairo Book,,Cairo,Starknet,NG,10.19,1,0,1,0,1
cicr99,"Cairo VM in Go,Starknet.go",,"Cairo,Go",Starknet,,0,0,0,0,2,2
ClanCo,"zConqueror,zKlash,zKube",Gaming,"C#,Cairo,Javascript,Typescript",Starknet,FR,0,0,0,6,0,6
ClementWalter,"Beerus,Cairo Native,Cairo VM,Cairo VM gs,DevNet,Devnet-rs,Kakarot,Madara,Pathfinder,Starknet-id,Starksheet",,"Cairo,Javascript,Python,Rust,Solidity,Typescript","Ethereum,Starknet",FR,0,0,1,19,39,59
clexmond,"Cubit,Hardhat-Plugin,Influence,Madara,Starklings-Cairo1,starknet.js",,"Cairo,Javascript,Typescript","Ethereum,Starknet",,2297.65,2,0,0,0,0
codeWhizperer,"ERC6551: Token bound Accounts on Starknet,Karst,Starklings-Cairo1,Starknet Quest,Starknet-Scaffold,The Starknet Book,cairovm-codes",,"Cairo,Javascript,Typescript",Starknet,NG,2500,1,0,2,0,2
codeZe-us,"FLEX MARKETPLACE,SpotNet",DeFi,,Starknet,NG,0,0,1,0,0,1
CollinsC1O,"DeRisk,FLEX MARKETPLACE,GO Feature Flag,Karst,LandVer,Speedrun & Scaffold Stark,StarkLudo,Starknet Foundry,Starknet Quest,Stone Packaging ,The Cairo Book,art/peace,starknet.js","Dev Tooling,Gaming,Infrastructure,RWA","Cairo,Go,Javascript,Python,Rust,Typescript",Starknet,NG,428.47,4,3,4,0,7
ColoCarletti,Platinum Prover,,Rust,Starknet,,0,0,0,0,2,2
CountryCousin,"Giza,Starklings-Cairo1,The Cairo Book,WTF Academy Starknet",,Cairo,Starknet,NG,0,0,0,0,0,0
coxmars,"ArkProject,ByteBeasts,Cairo VM in Go,Cairo lint,Go Stark Me,Joyboy Community,Kakarot,Reth,Starknet Phone,Starknet Quest,opscan by walnut,shinigami","Gaming,Infrastructure","Cairo,Go,Kotlin,Rust,Typescript","Ethereum,Starknet",CR,350,2,1,1,11,13
cptartur,"Cairo compiler,DevNet,Scarb,Starknet Foundry,Starknet JVM,Starknet SDK for Python,starknet.py",Dev Tooling,"Cairo,Java,Javascript,Kotlin,Python,Rust",Starknet,,0,0,2,9,24,35
credence0x,"Dojo,ERC6551: Token bound Accounts on Starknet,Giza,RealmsWorld,Unruggable Meme",,"Cairo,Javascript,Python,Rust,Solidity,Typescript",Starknet,NG,0,0,2,19,2,23
cristianFleita,"ByteBeasts,Dojo,Starkane,zKube",Gaming,"C#,Javascript,Typescript",Starknet,AR,0,0,1,2,0,3
CristopherAguilar10,"ByteBeasts,Cairo lint,Proof of Passport",Gaming,"C#,Rust,Typescript",Starknet,CR,500,1,4,4,0,8
custosDiretriz,Custos Diretriz,,,Starknet,,0,0,0,0,4,4
cyberhawk12121,Hyperlane Starknet,,Cairo,Starknet,,0,0,0,0,0,0
Cyberking99,"BSV Blockchain Faucet,ScanGuard","Dev Tooling,Infrastructure",Typescript,"BSV Blockchain,Starknet",NG,0,0,1,1,0,2
cyl19970726,STARKs & FRI Course,Learning,,Starknet,,0,0,0,0,0,0
danielcdz,"ByteBeasts,Cairo VM in Go,DeRisk,Go Stark Me,Kakarot,Reth,SafeSwap,Soroban Example Dapp,Speedrun & Scaffold Stark,Starknet Phone,Starknet Quest,opscan by walnut,stark-cairo-nodes","DeFi,Dev Tooling,Gaming,Infrastructure,Learning","Cairo,Go,Python,Rust,Typescript","Ethereum,Starknet,Stellar",MX,674.99,4,6,8,13,27
DanielEmmanuel1,"ArkProject,Peer Protocol,Reth,Starknet Quest",DeFi,"Javascript,Rust,Solidity,Typescript","Ethereum,Starknet",NG,401.06,1,0,0,0,0
Darlington02,"Cairo compiler,ERC6551: Token bound Accounts on Starknet,Karst,Satoru,Starknet-Scaffold,The Cairo Book,The Starknet Book,Unruggable Meme,WTF Academy Starknet,learnXinYminutes",,"Cairo,Javascript,Typescript",Starknet,NG,4500,2,0,1,3,4
DavedCreator,ScanGuard,,,Starknet,NG,0,0,1,1,0,2
Davidson-Souza,Raito - Bitcoin ZK Client,Infrastructure,Rust,Starknet,BR,5000.04,2,0,0,0,0
dbejarano820,"Cartridge,Dojo,Foundry,Giza,Kakarot,Madara,Platinum Prover,Satoru,Starknet docs: Starknet Technical Documentation,The Cairo Book,The Starknet Book,Tsubasa,starknet-rs,starknet.js",,"Cairo,Javascript,Python,Rust,Typescript","Ethereum,Starknet",CR,1446.9,1,0,0,0,0
ddoktorski,"Scarb,Starknet Foundry,Starknet JVM,Starknet SDK for Python,starknet-rs,starknet.py",Dev Tooling,"Cairo,Python,Rust",Starknet,,0,0,0,0,1,1
dean-starkware,Cairo compiler,,"Cairo,Rust",Starknet,,0,0,0,4,4,8
deeseeker,"Starknet Quest,Starknet React",,Typescript,Starknet,NG,30,1,0,1,0,1
DelevoXDG,"Devnet-rs,Scarb,Starknet Foundry,Starknet JVM,Starknet SDK for Python,starknet.js,starknet.py",Dev Tooling,"Cairo,Java,Javascript,Kotlin,Python,Rust,Swift",Starknet,,0,0,0,1,0,1
dependabot[bot],"Amphitheatre,Arianee Smart Contracts,ArkProject,Atemu World,Avail CLI,Avail powered zkEVM Validium,BSV Blockchain Faucet,Barknet,Basic Payment App,Beerus,Cairo VM in Zig,Cairo compiler,Checkpoint,Create Soroban Dapp Boiletplate,Devnet-rs,DipDup,FLEX MARKETPLACE,GO Feature Flag,Garaga,Go Stark Me,Hylé,JS-Stellar-SDK,Juno,Kakarot,Kitsu,Lava Network,Lume Web,Madara,Nethermind,OpEVM,OptimismJ,Paradex Client Libraries,Pathfinder,Reth,SPV Wallet Browser,Scarb,Sedge,Soroswap.Finance, AMM in Stellar with Soroban Smart Contracts,Sovereign SDK - Avail DA Adapter,StarkArcade,Starknet Coinflip ,Starknet Foundry,Starknet Remix Plugin,Starknet SDK for Python,Starknet.dart,Stellar CLI,Stellar-Wallet,Topology,World Engine,Yours Wallet,ethui (formerly Iron Wallet),gast,starknet-rs,starknet.py,zConqueror","DeFi,Dev Tooling,Gaming,Infrastructure,Learning,RWA","Go,Java,Javascript,Rust","BSV Blockchain,Ethereum,Optimism,Starknet,Stellar",,0,0,0,9,0,9
derianrddev,"ByteBeasts,Go Stark Me,PayStell,Semaphore Stellar,stark-cairo-nodes","DeFi,Dev Tooling,Gaming,Learning",Cairo,"Starknet,Stellar",CR,30,1,3,3,0,6
devnet0x,"Devnet-rs,Kakarot,Starknet Foundry,Starknet Security Challenges Factory,Starknet.dart,The Starknet Book",,"C++,Cairo,Javascript,Kotlin,Python,Rust,Swift",Starknet,CL,0,0,0,2,0,2
DevPelz,"ArkProject,Karst,Worldcoin-bridge-linea",,Solidity,Starknet,NG,400.75,1,0,0,0,0
DiegoB1911,"FLEX MARKETPLACE,Go Stark Me,Kakarot,stark-cairo-nodes","Dev Tooling,Learning",Cairo,Starknet,CR,25,1,2,2,0,4
diegokingston,Platinum Prover,,"Cairo,Rust",Starknet,,0,0,0,2,4,6
diegoTech14,"ByteBeasts,Cairo VM in Go,Cofiblocks,Go Stark Me,SafeSwap,SafeTrust,Stone Packaging ,stark-cairo-nodes","DeFi,Dev Tooling,Gaming,Learning,RWA","Cairo,Go,Typescript","Starknet,Stellar",CR,298.58,4,1,2,0,3
djeck1432,"DeRisk,Konoha,SpotNet",DeFi,"Javascript,Python,Typescript",Starknet,,2425,3,0,19,86,105
dkatzan,Starknet.go,,Go,Starknet,,0,0,0,0,0,0
dmirgaleev,"DipDup,Raito - Bitcoin ZK Client,Stone Packaging ",Infrastructure,"Cairo,Typescript","Ethereum,Optimism,Starknet",,3318.75,1,1,5,7,13
dor-starkware,Starknet docs: Starknet Technical Documentation,,,Starknet,,0,0,0,2,3,5
